data,label
den tjugofjärde 05 2049,24-05-2049
15/11/77,15-11-2077
sipsa'e 02 2049,14-02-2049
девятого 08 2049,09-08-2049
den femte 07 2077,05-07-2077
восемндацатого 11 2007,18-11-2007
шести октобра 2049,06-10-2049
24.08.07,24-08-2007
двадесет други новембра 2049,22-11-2049
тридцать первое 10 2049,31-10-2049
le huit 09 2049,08-09-2049
23.01.07,23-01-2007
der sechs und zwanzigste 08 2049,26-08-2049
второго 10 2049,02-10-2049
27 децембра 2077,27-12-2077
14.10.07,14-10-2007
26/04/2077,26-04-2077
егерме икенче майда 2049,22-05-2049
18 februar 2077,18-02-2077
двадесети 08 2049,20-08-2049
der vier und zwanzigste september 2049,24-09-2049
der sieben und zwanzigste 12 2007,27-12-2007
vierzehnter 01 2077,14-01-2077
двадцать второе июля 2049,22-07-2049
zweiter 08 2049,02-08-2049
am dritten februar 2049,03-02-2049
der fünfzehnte september 2049,15-09-2049
den första februari 2007,01-02-2007
le douze 05 2049,12-05-2049
дванаестог марта 2049,12-03-2049
der zwei und zwanzigster dezember 2007,22-12-2007
18 april 2007,18-04-2007
другог 12 2049,02-12-2049
11 июня 2007,11-06-2007
zweiter 01 2007,02-01-2007
пятое 12 2007,05-12-2007
14 o'wol 2007,14-05-2007
16/05/07,16-05-2007
le dix octobre 2007,10-10-2007
der zwölfte 01 2007,12-01-2007
der zehnte 01 2007,10-01-2007
24 augusti 2049,24-08-2049
пятого 04 2007,05-04-2007
sipi 03 2007,12-03-2007
den nionde 01 2049,09-01-2049
десятого 12 2077,10-12-2077
der sechs und zwanzigste mai 2007,26-05-2007
өченче 01 2077,03-01-2077
седамнаестог децембра 2049,17-12-2049
samsipil 08 2007,31-08-2007
16.07.07,16-07-2007
04 августа 2077,04-08-2077
беренче майда 2049,01-05-2049
am zehnten 01 2049,10-01-2049
am zweiten mai 2077,02-05-2077
den sjuttonde 07 2077,17-07-2077
am ersten  oktober 2007,01-10-2007
ile 01 2007,01-01-2007
le dix-neuf août 2007,19-08-2007
le quatorze février 2007,14-02-2007
двадесет осмог фебруара 2007,28-02-2007
sechszehnter november 2049,16-11-2049
двадцать шестое мая 2077,26-05-2077
zehnter 02 2077,10-02-2077
тринаестог новембра 2049,13-11-2049
le deux mars 2077,02-03-2077
04/12/77,04-12-2077
am neunzehnten juni 2007,19-06-2007
23.07.2007,23-07-2007
четрнаестог маја 2049,14-05-2049
егерме икенче 09 2049,22-09-2049
23/10/2077,23-10-2077
le vingt-six 09 2007,26-09-2007
23/09/2007,23-09-2007
четвртог 11 2007,04-11-2007
тринадцатого 09 2077,13-09-2077
12 июндә 2077,12-06-2077
am acht und zwanzigsten juni 2049,28-06-2049
07 juin 2077,07-06-2077
пятое 09 2007,05-09-2007
der siebzehnte august 2007,17-08-2007
isipgu yu'wol 2049,29-06-2049
седмог 05 2049,07-05-2049
двадесет четвртог 06 2077,24-06-2077
der vierte 03 2007,04-03-2007
achter mai 2007,08-05-2007
пятнадцатого июля 2007,15-07-2007
den sjunde 07 2049,07-07-2049
achter märz 2007,08-03-2007
der elfte 02 2049,11-02-2049
le trois juillet 2049,03-07-2049
den sjätte 08 2049,06-08-2049
i chirwol 2049,02-07-2049
den trettonde mars 2049,13-03-2049
шеснаести септембра 2049,16-09-2049
zwölfter 03 2077,12-03-2077
den trettonde 10 2049,13-10-2049
den artonde 08 2007,18-08-2007
gu 07 2049,09-07-2049
третье марта 2007,03-03-2007
der sechszehnte 01 2077,16-01-2077
07 januar 2077,07-01-2077
25 sibi'wol 2077,25-12-2077
der dreizigste januar 2077,30-01-2077
sipo 08 2049,15-08-2049
siebter 01 2049,07-01-2049
der sechs und zwanzigster 10 2077,26-10-2077
am acht und zwanzigsten 12 2049,28-12-2049
isipchile sa'wol 2077,27-04-2077
30 марта 2077,30-03-2077
шести априла 2007,06-04-2007
29/04/49,29-04-2049
10/06/07,10-06-2007
fünfter juni 2007,05-06-2007
двадесет првог 01 2007,21-01-2007
der siebte 05 2007,07-05-2007
den andra 08 2077,02-08-2077
den tjugoförsta mars 2049,21-03-2049
05 février 2049,05-02-2049
24/07/2049,24-07-2049
isipyuk chirwol 2077,26-07-2077
29.05.2007,29-05-2007
i irwol 2049,02-01-2049
15/07/2077,15-07-2077
o 05 2007,05-05-2007
двадесет девети августа 2077,29-08-2077
isippale 10 2077,28-10-2077
03 јула 2007,03-07-2007
четрнаестог 10 2049,14-10-2049
двадесет четврти априла 2049,24-04-2049
le vingt-deux juin 2049,22-06-2049
am zweiten juni 2007,02-06-2007
29 декабря 2077,29-12-2077
22.03.07,22-03-2007
isipsa 07 2077,24-07-2077
am achten 11 2007,08-11-2007
06/10/2077,06-10-2077
четырнадцатое июня 2077,14-06-2077
vierzehnter november 2077,14-11-2077
den åttonde 04 2077,08-04-2077
09/02/2049,09-02-2049
isipe 12 2077,20-12-2077
четырнадцатое 04 2007,14-04-2007
09 februar 2077,09-02-2077
06 irwol 2049,06-01-2049
der vierzehnte 01 2049,14-01-2049
01 august 2007,01-08-2007
11 augusti 2049,11-08-2049
12 octobre 2007,12-10-2007
двадцать пятое 05 2007,25-05-2007
am dreizehnten dezember 2007,13-12-2007
четврти 01 2007,04-01-2007
уналтынчы ноябрдә 2007,16-11-2007
10 септембра 2077,10-09-2077
осамнаестог марта 2049,18-03-2049
двадесет пети 05 2077,25-05-2077
le vingt et un mai 2007,21-05-2007
23.05.77,23-05-2077
пятого января 2007,05-01-2007
двадесет други марта 2077,22-03-2077
le dix-sept juillet 2049,17-07-2049
09.12.07,09-12-2007
am elften 07 2049,11-07-2049
der achzehnte 09 2049,18-09-2049
den tjugosjunde 02 2049,27-02-2049
sippal 10 2077,18-10-2077
den femte november 2077,05-11-2077
16 dezember 2007,16-12-2007
den trettioförsta december 2049,31-12-2049
двадесет трећог 06 2007,23-06-2007
26 мартта 2049,26-03-2049
18.01.49,18-01-2049
der sechs und zwanzigster 01 2049,26-01-2049
30/03/07,30-03-2007
den trettionde 07 2049,30-07-2049
уналтынчы июндә 2077,16-06-2077
16/04/2049,16-04-2049
тринадцатого 08 2077,13-08-2077
am ersten  04 2007,01-04-2007
le vingt et un 11 2077,21-11-2077
01 августта 2049,01-08-2049
14 juillet 2077,14-07-2077
der vier und zwanzigste mai 2007,24-05-2007
23 декабря 2049,23-12-2049
am elften dezember 2007,11-12-2007
pal 04 2007,08-04-2007
унынчы 04 2077,10-04-2077
двадцать седьмого сентября 2049,27-09-2049
sa'e 05 2049,04-05-2049
le vingt 11 2077,20-11-2077
двадесет осмог новембра 2077,28-11-2077
16 janvier 2007,16-01-2007
am sechszehnten mai 2049,16-05-2049
le treize 01 2049,13-01-2049
третье сентября 2007,03-09-2007
am acht und zwanzigsten mai 2077,28-05-2077
am zehnten 09 2007,10-09-2007
achzehnter september 2077,18-09-2077
егерме беренче октябрдә 2049,21-10-2049
19 сентябрдә 2049,19-09-2049
җиденче 12 2049,07-12-2049
isipi o'wol 2077,22-05-2077
унберенче 03 2077,11-03-2077
zwanzigster 04 2007,20-04-2007
09/01/77,09-01-2077
18 апрелдә 2049,18-04-2049
девятого 03 2049,09-03-2049
der zwei und zwanzigste dezember 2049,22-12-2049
10.02.49,10-02-2049
am ersten  07 2077,01-07-2077
двадцать первое августа 2007,21-08-2007
samsip chirwol 2077,30-07-2077
isipgu 06 2007,29-06-2007
третьего  августа 2077,03-08-2077
sipgu'e yu'wol 2049,19-06-2049
den nittonde januari 2007,19-01-2007
четвертое сентября 2049,04-09-2049
җиденче 10 2007,07-10-2007
одиннаестог маја 2077,11-05-2077
одиннаести 08 2007,11-08-2007
sipe 10 2049,10-10-2049
isipie 06 2077,22-06-2077
девятого мая 2049,09-05-2049
am fünften januar 2049,05-01-2049
20 новембра 2049,20-11-2049
27 gu'wol 2007,27-09-2007
девятого 10 2077,09-10-2077
други 11 2007,02-11-2007
isipsam 08 2077,23-08-2077
тридцатое 04 2049,30-04-2049
11/12/2077,11-12-2077
одинадцатое 10 2077,11-10-2077
двадцать пятое июня 2077,25-06-2077
der ein und dreizigster 05 2007,31-05-2007
двадцатое 03 2049,20-03-2049
06/11/77,06-11-2077
07 märz 2049,07-03-2049
02 јуна 2049,02-06-2049
двадесет осми 08 2007,28-08-2007
уникенче 07 2077,12-07-2077
sipi sa'wol 2049,12-04-2049
03 mars 2077,03-03-2077
vierter september 2007,04-09-2007
10 јула 2049,10-07-2049
sechszehnter 07 2077,16-07-2077
achter juni 2007,08-06-2007
sipil yu'wol 2077,11-06-2077
01 апрелдә 2077,01-04-2077
30/04/07,30-04-2007
den elfte 05 2049,11-05-2049
08 новембра 2077,08-11-2077
егерме сигезенче июндә 2077,28-06-2077
o'e parwol 2007,05-08-2007
30/07/2007,30-07-2007
30 juni 2007,30-06-2007
тридцатое марта 2049,30-03-2049
isippal irwol 2049,28-01-2049
трећи 11 2007,03-11-2007
03.07.2077,03-07-2077
23 januari 2049,23-01-2049
der elfte 08 2077,11-08-2077
седамнаестог 01 2077,17-01-2077
восьмое декабря 2007,08-12-2007
десятое июня 2077,10-06-2077
der ein und zwanzigster 07 2049,21-07-2049
18 маја 2007,18-05-2007
четврти јуна 2007,04-06-2007
двадесет други априла 2007,22-04-2007
шестнадцатого июля 2049,16-07-2049
o 02 2077,05-02-2077
sechster märz 2007,06-03-2007
sipo 06 2007,15-06-2007
le vingt-sept août 2077,27-08-2077
le vingt-sept 06 2007,27-06-2007
der fünfte 10 2049,05-10-2049
двадесет четврти 03 2077,24-03-2077
am neun und zwanzigsten märz 2007,29-03-2007
24 sibirwol 2049,24-11-2049
трећог августа 2049,03-08-2049
22 июля 2077,22-07-2077
04/12/2049,04-12-2049
der elfte 05 2007,11-05-2007
четырнадцатое 03 2007,14-03-2007
30 новембра 2049,30-11-2049
14.01.07,14-01-2007
le quatre février 2049,04-02-2049
21/12/77,21-12-2077
22 november 2077,22-11-2077
26 децембра 2049,26-12-2049
der achte märz 2077,08-03-2077
isippale o'wol 2007,28-05-2007
31 octobre 2077,31-10-2077
31/08/77,31-08-2077
am fünften 10 2007,05-10-2007
achzehnter januar 2077,18-01-2077
двадцать девятого 01 2077,29-01-2077
07 avril 2077,07-04-2077
le neuf juillet 2077,09-07-2077
девятого 06 2049,09-06-2049
двадесет трећог 06 2049,23-06-2049
le vingt et un novembre 2049,21-11-2049
21 chirwol 2007,21-07-2007
21/06/07,21-06-2007
03.11.77,03-11-2077
der fünf und zwanzigste februar 2007,25-02-2007
второе марта 2049,02-03-2049
15/06/2077,15-06-2077
двадцать третьего февраля 2007,23-02-2007
13 sa'wol 2007,13-04-2007
четвртог децембра 2007,04-12-2007
12 februari 2077,12-02-2077
sipchile o'wol 2049,17-05-2049
04 апрелдә 2077,04-04-2077
егерме сигезенче 11 2049,28-11-2049
01 октобра 2077,01-10-2077
двадесетог априла 2049,20-04-2049
второе мая 2007,02-05-2007
тринаестог септембра 2007,13-09-2007
der siebzehnte april 2007,17-04-2007
der neun und zwanzigster 05 2049,29-05-2049
06.02.2077,06-02-2077
четрнаести 09 2007,14-09-2007
am fünfzehnten februar 2049,15-02-2049
седамнаести 05 2007,17-05-2007
01 april 2049,01-04-2049
isipo'e si'wol 2007,25-10-2007
achter januar 2077,08-01-2077
sechszehnter 10 2077,16-10-2077
12 јула 2007,12-07-2007
осми 08 2049,08-08-2049
20.09.2007,20-09-2007
isipchile sibirwol 2007,27-11-2007
sechszehnter 05 2077,16-05-2077
erster 06 2077,01-06-2077
am neunten januar 2007,09-01-2007
am elften 04 2049,11-04-2049
тридцать первого 01 2007,31-01-2007
12 avril 2077,12-04-2077
21 ноября 2007,21-11-2007
yuke 09 2077,06-09-2077
am neunzehnten november 2007,19-11-2007
am zehnten februar 2007,10-02-2007
sa'e si'wol 2007,04-10-2007
le premier 07 2049,01-07-2049
sipyuke 10 2007,16-10-2007
zwanzigster 02 2007,20-02-2007
08/07/2077,08-07-2077
den första december 2077,01-12-2077
isipo'e yu'wol 2049,25-06-2049
17 јуна 2049,17-06-2049
10 sibirwol 2007,10-11-2007
осми октобра 2077,08-10-2077
der vier und zwanzigste oktober 2049,24-10-2049
31.07.2007,31-07-2007
le quatre 08 2007,04-08-2007
15 сентября 2077,15-09-2077
le vingt 08 2007,20-08-2007
